work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size
2021,0,0,60000,100,2,0
2021,2,6,235000,100,2,2
2021,2,7,60757,50,1,2
2021,2,6,174000,100,2,2
2021,1,4,2859,0,1,0
2021,1,4,40038,100,0,2
2021,0,5,81000,50,2,0
2021,1,4,5679,100,2,0
2021,1,6,22611,0,1,2
2021,1,4,90734,50,2,2
2021,1,2,26005,0,2,2
2021,2,6,61896,50,2,2
2021,1,6,12000,50,0,1
2021,1,2,4000,100,0,1
2021,2,6,50000,100,2,1
2021,3,6,69741,100,1,0
2021,2,2,76833,50,2,0
2021,1,5,74000,50,0,0
2021,2,3,152000,100,2,2
2021,0,5,21844,50,0,1
2021,1,6,18000,0,0,0
2021,2,3,174000,100,2,2
2021,2,7,96113,50,2,2
2021,1,4,147000,50,2,2
2021,0,6,9272,100,0,0
2021,2,5,24342,100,1,2
2021,2,3,54094,50,2,2
2021,0,6,90000,100,2,0
2021,1,4,61467,50,2,1
2021,2,6,195000,100,2,1
2021,1,4,37825,100,1,2
2021,2,7,50000,100,2,0
2021,1,4,160000,100,2,2
2021,1,4,12901,0,1,0
2021,2,5,200000,100,2,2
2021,2,2,165000,0,2,1
2021,1,2,20000,0,2,2
2021,2,6,120000,0,2,2
2021,1,5,24823,50,0,2
2021,1,7,56738,50,2,0
2021,1,2,66022,50,2,0
2021,0,6,5882,0,2,2
2021,0,5,24823,50,2,1
2021,2,6,185000,100,2,2
2021,0,6,28609,50,2,0
2021,1,4,90734,50,2,2
2021,1,5,88654,100,2,1
2021,2,6,140000,100,2,2
2021,1,5,46597,100,1,2
2021,1,4,116914,50,2,2
2021,1,4,33808,0,1,1
2021,1,4,56256,50,2,2
2021,2,6,225000,100,2,2
2021,3,6,280911,100,2,0
2021,2,4,87738,100,2,0
2021,1,4,88654,50,2,2
2021,2,4,135000,0,2,2
2021,2,0,71786,100,2,1
2021,0,6,16228,100,1,2
2021,2,6,256000,100,2,0
2021,2,6,200000,100,2,2
2021,2,0,200000,100,2,2
2021,1,1,180000,100,2,2
2021,1,6,110000,0,2,0
2021,1,7,63810,100,2,1
2021,1,4,46809,100,1,1
2021,0,4,4000,0,0,1
2021,0,2,21637,50,1,1
2021,2,4,103691,100,2,2
2021,1,0,80000,100,2,2
2021,1,2,110000,100,2,2
2021,2,4,165000,100,2,2
2021,0,6,18053,100,0,0
2021,1,2,72212,50,2,2
2021,0,4,36643,50,2,2
2021,1,2,12103,0,1,1
2021,2,2,96282,50,2,2
2021,2,6,170000,100,2,1
2021,1,4,115000,50,2,2
2021,0,4,90000,100,2,0
2021,3,6,280911,100,2,2
2021,0,4,28399,100,1,1
2021,1,0,93000,100,2,2
2021,2,6,99703,50,2,1
2021,1,2,200000,100,2,2
2021,2,6,173762,100,2,1
2021,2,5,185000,50,2,2
2021,3,6,141846,0,2,2
2021,1,4,130000,50,2,2
2021,2,0,63831,50,2,2
2021,1,4,16904,100,1,0
2021,2,5,66265,0,1,2
2021,1,4,25532,100,2,0
2021,2,6,160000,50,2,0
2021,1,2,93150,0,2,1
2021,1,2,111775,0,2,1
2021,1,2,28016,100,1,1
2021,0,2,65013,50,2,1
2021,0,2,72500,100,2,2
2021,2,6,18907,0,1,1
2021,0,6,76833,0,2,2
2021,0,5,85000,100,2,0
2021,2,4,77684,50,2,1
2021,0,4,100000,100,2,1
2021,0,4,58000,50,2,2
2021,2,6,55000,100,1,2
2021,2,4,20171,50,1,2
2021,0,6,59102,100,0,2
2021,1,2,112000,100,2,2
2021,0,7,100000,0,1,2
2021,1,2,69741,100,2,2
2021,2,6,105000,100,2,1
2021,1,7,69999,50,1,2
2021,2,3,94665,50,1,2
2021,2,6,102839,100,0,2
2021,1,4,109000,50,2,2
2021,1,5,51064,50,0,2
2022,2,2,135000,100,2,1
2022,2,0,155000,100,2,1
2022,2,0,120600,100,2,1
2022,1,4,130000,0,2,1
2022,1,4,90000,0,2,1
2022,1,2,170000,100,2,1
2022,1,2,150000,100,2,1
2022,2,0,102100,100,2,1
2022,2,0,84900,100,2,1
2022,2,4,136620,100,2,1
2022,2,4,99360,100,2,1
2022,2,4,117789,0,2,1
2022,2,4,104702,0,2,1
2022,2,4,146000,100,2,1
2022,2,4,123000,100,2,1
2022,0,2,52351,100,2,1
2022,2,0,99000,0,2,1
2022,2,0,116000,0,2,1
2022,1,0,106260,0,2,1
2022,1,0,126500,0,2,1
2022,3,2,242000,100,2,1
2022,3,2,200000,100,2,1
2022,1,4,65438,0,2,1
2022,1,4,39263,0,2,1
2022,1,2,78526,0,2,1
2022,1,2,52351,0,2,1
2022,2,4,165220,100,2,1
2022,0,2,45807,100,2,1
2022,2,4,120160,100,2,1
2022,2,0,90320,100,2,1
2022,2,2,181940,0,2,1
2022,2,2,132320,0,2,1
2022,2,2,220110,0,2,1
2022,2,2,160080,0,2,1
2022,2,4,180000,0,2,2
2022,2,4,120000,0,2,2
2022,2,0,124190,100,2,1
2022,3,0,130000,100,2,1
2022,3,0,110000,100,2,1
2022,2,0,170000,100,2,1
2022,1,0,115500,100,2,1
2022,2,0,112900,100,2,1
2022,2,0,90320,100,2,1
2022,2,0,112900,100,2,1
2022,2,0,90320,100,2,1
2022,2,2,165400,100,2,1
2022,2,2,132320,100,2,1
2022,1,0,167000,100,2,1
2022,2,2,243900,100,2,1
2022,2,0,136600,100,2,1
2022,2,0,109280,100,2,1
2022,2,2,128875,100,2,1
2022,2,2,93700,100,2,1
2022,3,6,224000,100,2,1
2022,3,6,167875,100,2,1
2022,3,6,175000,100,2,1
2022,2,2,156600,100,2,1
2022,2,2,108800,0,2,1
2022,2,4,95550,0,2,1
2022,2,2,113000,0,2,2
2022,2,0,135000,100,2,1
2022,2,3,161342,100,2,1
2022,2,3,137141,100,2,1
2022,2,4,167000,100,2,1
2022,2,4,123000,100,2,1
2022,2,2,78526,0,2,1
2022,2,2,65438,0,2,1
2022,2,4,150000,0,2,1
2022,2,4,211500,100,2,1
2022,2,1,192400,100,2,1
2022,2,1,90700,100,2,1
2022,2,0,130000,100,2,1
2022,2,0,61300,100,2,1
2022,2,0,130000,100,2,1
2022,2,0,61300,100,2,1
2022,2,2,160000,0,2,2
2022,2,4,138600,100,2,1
2022,2,2,136000,0,2,1
2022,1,0,58000,0,2,0
2022,3,6,135000,100,2,1
2022,2,4,170000,100,2,1
2022,2,4,123000,100,2,1
2022,2,5,189650,0,2,1
2022,2,5,164996,0,2,1
2022,1,6,54957,0,1,1
2022,1,6,54957,0,1,1
2022,3,6,118187,100,2,0
2022,2,0,132000,0,2,1
2022,2,2,165400,100,2,1
2022,2,1,208775,100,2,1
2022,2,1,147800,100,2,1
2022,2,2,136994,100,2,1
2022,2,2,101570,100,2,1
2022,2,0,128875,100,2,1
2022,2,0,93700,100,2,1
2022,3,6,79039,50,1,2
2022,2,2,132320,100,2,1
2022,0,5,37300,100,2,2
2022,2,0,164000,0,2,1
2022,2,2,155000,100,2,1
2022,1,5,124333,0,2,1
2022,1,5,98158,0,2,1
2022,1,6,120000,0,2,1
2022,2,0,112900,100,2,1
2022,2,0,90320,100,2,1
2022,2,6,145000,100,2,1
2022,2,6,105400,100,2,1
2022,1,5,87932,100,2,1
2022,1,2,117789,0,2,1
2022,2,4,215300,100,2,2
